"Viaje_Id","Usuario_Id","Genero","A�o_de_nacimiento","Inicio_del_viaje","Fin_del_viaje","Origen_Id","Destino_Id"
"22226256","1364173","M","2000","2022-02-09 19:54:12","2022-02-09 19:54:32","129","129"
"22226273","1364173","M","2000","2022-02-09 19:55:40","2022-02-09 20:10:05","129","129"
"22226513","1364173","M","2000","2022-02-09 20:11:18","2022-02-09 20:11:41","129","129"
"22226519","1364173","M","2000","2022-02-09 20:11:48","2022-02-09 20:30:06","129","129"
"22285129","1364173","M","2000","2022-02-14 17:17:35","2022-02-14 17:17:58","129","129"
"22285141","1364173","M","2000","2022-02-14 17:18:18","2022-02-14 17:23:15","129","127"
"22288773","1364173","M","2000","2022-02-14 20:31:48","2022-02-14 20:34:48","129","127"
"22310449","1364173","M","2000","2022-02-16 12:00:50","2022-02-16 12:03:35","127","129"
"22329928","1364173","M","2000","2022-02-17 16:41:27","2022-02-17 16:46:21","129","127"
"22343619","1364173","M","2000","2022-02-18 14:57:00","2022-02-18 15:00:25","129","127"
"22381475","1364173","M","2000","2022-02-21 18:57:53","2022-02-21 19:03:03","129","213"
"22646532","1364173","M","2000","2022-03-12 19:51:18","2022-03-12 19:54:11","129","127"
"23044641","1364173","M","2000","2022-04-10 12:38:32","2022-04-10 12:48:12","129","132"
"23195071","1364173","M","2000","2022-04-22 19:41:02","2022-04-22 19:41:35","129","129"
"23203604","1364173","M","2000","2022-04-23 15:59:22","2022-04-23 16:04:43","129","132"
"23206410","1364173","M","2000","2022-04-23 21:22:24","2022-04-23 21:26:01","131","212"
"23206447","1364173","M","2000","2022-04-23 21:26:08","2022-04-23 21:26:14","212","212"
"23294642","1364173","M","2000","2022-04-29 22:32:07","2022-04-29 22:32:22","129","129"
"23294647","1364173","M","2000","2022-04-29 22:32:48","2022-04-29 22:33:09","129","129"
"23294651","1364173","M","2000","2022-04-29 22:33:32","2022-04-29 22:38:15","129","129"
"23636693","1364173","M","2000","2022-05-24 10:15:52","2022-05-24 10:18:22","129","127"
"23636718","1364173","M","2000","2022-05-24 10:18:28","2022-05-24 10:18:35","127","127"
"23709545","1364173","M","2000","2022-05-29 14:36:44","2022-05-29 14:41:32","43","193"
"23709590","1364173","M","2000","2022-05-29 14:41:39","2022-05-29 14:41:52","193","193"
"23709603","1364173","M","2000","2022-05-29 14:43:14","2022-05-29 15:02:44","193","212"
"23709778","1364173","M","2000","2022-05-29 15:03:01","2022-05-29 15:08:22","212","129"
"23744191","1364173","M","2000","2022-05-31 21:24:51","2022-05-31 21:30:09","135","129"
"23767788","1364173","M","2000","2022-06-02 13:08:12","2022-06-02 13:10:44","129","131"
"23767847","1364173","M","2000","2022-06-02 13:12:44","2022-06-02 13:15:11","131","129"
"23897011","1364173","M","2000","2022-06-11 19:07:49","2022-06-11 19:12:24","129","132"
"23897342","1364173","M","2000","2022-06-11 19:39:28","2022-06-11 19:43:34","132","131"
"23927415","1364173","M","2000","2022-06-14 11:49:41","2022-06-14 11:54:45","131","129"
"23942609","1364173","M","2000","2022-06-15 10:32:39","2022-06-15 10:33:03","129","129"
"23942611","1364173","M","2000","2022-06-15 10:33:11","2022-06-15 10:40:50","129","131"
"24086024","1364173","M","2000","2022-06-25 16:23:02","2022-06-25 16:27:34","131","127"
"24121924","1364173","M","2000","2022-06-28 18:30:00","2022-06-28 18:34:20","129","132"
"24152666","1364173","M","2000","2022-06-30 18:27:46","2022-06-30 18:30:45","129","132"
"24228647","1364173","M","2000","2022-07-06 18:24:16","2022-07-06 18:30:34","129","308"
"24230228","1364173","M","2000","2022-07-06 19:30:59","2022-07-06 19:42:45","131","131"
"24237447","1364173","M","2000","2022-07-07 11:39:42","2022-07-07 11:48:17","129","310"
"24242739","1364173","M","2000","2022-07-07 12:49:03","2022-07-07 12:55:16","308","129"
"24269662","1364173","M","2000","2022-07-09 17:50:59","2022-07-09 18:00:12","129","205"
"24271361","1364173","M","2000","2022-07-09 20:45:22","2022-07-09 20:57:09","205","129"
"24347634","1364173","M","2000","2022-07-15 11:38:18","2022-07-15 11:50:43","129","127"
"24396401","1364173","M","2000","2022-07-19 11:01:44","2022-07-19 11:02:10","313","313"
"24396407","1364173","M","2000","2022-07-19 11:02:35","2022-07-19 11:34:58","313","206"
"24396926","1364173","M","2000","2022-07-19 11:52:29","2022-07-19 12:02:29","216","131"
"24397185","1364173","M","2000","2022-07-19 12:20:57","2022-07-19 12:44:39","131","308"
"24397449","1364173","M","2000","2022-07-19 12:48:01","2022-07-19 12:55:03","308","313"
"24463689","1364173","M","2000","2022-07-24 11:29:24","2022-07-24 11:47:56","129","313"
"24473559","1364173","M","2000","2022-07-25 11:11:36","2022-07-25 11:18:50","131","310"
"24473644","1364173","M","2000","2022-07-25 11:20:58","2022-07-25 11:24:57","310","313"
"24482824","1364173","M","2000","2022-07-25 21:55:37","2022-07-25 22:03:03","132","313"
"24482878","1364173","M","2000","2022-07-25 22:03:12","2022-07-25 22:03:26","313","313"
"24530826","1364173","M","2000","2022-07-29 17:09:44","2022-07-29 17:21:58","313","129"
"24532910","1364173","M","2000","2022-07-29 19:01:53","2022-07-29 19:09:43","129","313"
"24741746","1364173","M","2000","2022-08-14 11:16:38","2022-08-14 11:22:50","214","129"
"24922233","1364173","M","2000","2022-08-26 15:36:27","2022-08-26 15:46:56","129","212"
"24937418","1364173","M","2000","2022-08-27 17:18:22","2022-08-27 17:25:11","129","129"
"24937597","1364173","M","2000","2022-08-27 17:36:40","2022-08-27 17:38:43","129","131"
"24937647","1364173","M","2000","2022-08-27 17:42:24","2022-08-27 17:46:59","131","212"
"24952956","1364173","M","2000","2022-08-29 11:00:17","2022-08-29 11:01:53","129","127"
"25656972","1364173","M","2000","2022-10-15 20:50:19","2022-10-15 20:58:57","313","129"
"25708960","1364173","M","2000","2022-10-19 10:29:56","2022-10-19 10:32:10","129","127"
