Periodo,Aguascalientes,Baja California,Baja California Sur,Campeche,Coahuila de Zaragoza,Colima,Chiapas,Chihuahua,Distrito Federal,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,México,Michoacán de Ocampo,Morelos,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz de Ignacio de la Llave,Yucatán,Zacatecas
2018
I,3.6879733,2.11637388,3.72670977,2.6254645,4.06484903,3.37957308,1.99052582,3.89361502,3.6564503,4.34933672,3.49782333,1.22756661,2.42492068,2.32043744,4.23581336,1.96549037,1.85092765,3.39069504,3.56183674,1.28293012,2.09489279,3.25805492,2.6398359,2.87915177,2.46633219,3.26058018,7.59423044,3.93825507,3.7173529,2.8034089,2.03297894,3.61360742
II,3.31805471,2.68229313,3.41515137,3.32284051,4.0857867,2.65402143,2.85692555,3.40999718,5.13623753,3.74331007,3.40196603,0.84914471,2.43348091,3.00513655,4.06685889,1.98020789,2.13770755,4.12265071,3.46120446,1.40405422,2.61532399,3.81359513,2.60498718,2.42599098,3.76510031,3.64035349,6.37258055,3.82154374,3.2706024,3.23122706,1.53836031,2.58499477
III,3.62782148,3.02233792,4.11745136,3.63973992,4.78422956,3.25771499,2.83015127,3.08699977,4.56008943,4.96268023,3.6772102,1.54873642,3.06784933,3.00571302,3.67740774,2.42272963,2.40826371,4.67910761,3.77841304,1.62567208,3.00277997,4.26718668,2.65434691,2.56990676,3.37582085,4.23094309,7.13017908,3.83953923,3.78812979,3.30436804,2.10200243,3.06602698
IV,3.166559,2.23371757,3.87077698,3.47344263,3.6325696,3.7172871,3.45414582,2.2227962,5.12514207,4.10821858,3.81109495,1.23073292,2.07695742,2.52381542,3.82468485,2.49237899,2.08163137,3.59988797,3.55218168,1.98084399,2.48601893,3.7095398,3.08880518,2.14353187,3.15786548,3.66419315,7.83328373,3.90514324,4.02306453,2.68927976,1.50293197,2.50983764
2019
I,3.2854,2.5119,3.9545,3.4757,4.2485,3.9184,3.0945,3.0353,4.7304,4.6449,3.98,1.8243,2.4783,2.5885,4.1947,2.3243,1.7859,3.6575,3.4007,1.8,2.4134,2.6434,2.9559,2.1768,3.4949,4.2504,7.5128,3.6898,3.7933,2.8352,1.9091,3.1819
II,3.6711,2.5576,4.618,3.4765,4.8842,3.6226,3.6005,3.3845,5.1595,4.2546,3.7656,1.3987,2.6945,2.9633,4.5042,2.9266,2.3431,3.9655,3.4987,1.2943,2.754,4.5344,2.7322,2.8633,2.9979,4.1615,7.2443,3.3727,3.9928,2.5669,1.7838,3.2089
III,3.7928,2.8991,4.9459,3.0097,4.8124,3.8196,3.7035,3.1974,4.9958,3.9402,3.8088,1.4025,2.0547,3.1875,4.7392,2.9276,2.6818,4.4898,3.6119,2.0244,2.892,5.3541,3.5506,3.3077,3.6315,4.9489,7.1721,3.5992,3.6236,3.5474,1.9669,3.3284
IV,3.3414,2.2185,4.3721,3.2231,4.2763,2.9579,2.4576,2.5708,5.1012,3.26,3.2981,1.4506,2.5075,3.054,4.5555,2.7098,2.4208,3.5677,3.7288,2.0173,2.4971,4.7173,3.0804,2.2811,2.845,3.7891,6.3728,3.2189,3.5457,2.8579,1.9182,2.5285
