"Año /
Year","Total /
Total",Presencial,En línea / On line,Solicitudes Protocolo de Madrid siendo México oficina desginada,,
1993,"29,797","29,797",-,-,,
1994,"35,104","35,104",-,-,,
1995,"31,662","31,662",-,-,,
1996,"34,272","34,272",-,-,,
1997,"37,367","37,367",-,-,,
1998,"42,607","42,607",-,-,,
1999,"48,800","48,800",-,-,,
2000,"62,590","62,590",-,-,,
2001,"64,970","64,970",-,-,,
2002,"59,576","59,576",-,-,,
2003,"57,613","57,613",-,-,,
2004,"62,595","62,595",-,-,,
2005,"68,805","68,805",-,-,,
2006,"74,378","74,378",-,-,,
2007,"83,216","83,216",-,-,,
2008,"84,287","84,287",-,-,,
2009,"81,937","81,937",-,-,,
2010,"95,044","95,044",-,-,,
2011,"100,281","100,281",-,-,,
2012,"105,825","104,785","1,040",-,,
2013,"114,159","97,177","9,177","7,805",,
2014,"125,665","92,880","16,078","16,707",,
2015,"141,839","98,066","21,460","22,313",,
2016,"146,504","98,049","29,297","19,158",,
2017,"161,841","98,774","38,860","24,207",,
2018,"163,315","87,798","50,910","24,607",,
2019,"166,898","65,520","74,267","27,111",,
2020,"167,600","19,651","122,123","25,826",,
Anual 2021,"200,915","15,448","157,295","28,172",,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
